,id,name,cd_wd_id,cd_name
121,1ab84ac8f79b9a56cc8a55e2fa2345abb8740394,Helmut Hofer-Gruber,Q48036799,Helmut Hofer-Gruber
122,1b3135c0b41fe27886adba43bf74e24f8343b4b2,Martina Diesner-Wais,Q1369083,Martina Diesner-Wais
123,1b7b9e79e4d921bb6d1944c3f4ea6abe0e9ea9e2,Nicole Berger-Krotsch,Q2783157,Nicole Berger-Krotsch
124,1b802efd1abd345c140d665833e395aad6bdb161,Martin Engelberg,Q42307913,Martin Engelberg
125,1b802efd1abd345c140d665833e395aad6bdb161,Martin Engelberg,Q94794482,Martin Engelberg
126,1b94e34fa4e8fa67a76a827bd468ce6ac733f033,Gerhard Bachmann,Q84091541,Gerhard Bachmann
127,1b94e34fa4e8fa67a76a827bd468ce6ac733f033,Gerhard Bachmann,Q96337751,Gerhard Bachmann
128,1b94e34fa4e8fa67a76a827bd468ce6ac733f033,Gerhard Bachmann,Q102425080,Gerhard Bachmann
129,1c5e68262662ce36a3306a528d0eebbc29014a0a,Felix Eypeltauer,Q72071295,Felix Eypeltauer
130,1c66425c4d3911d91db7908c96c8d1fb8213e158,Barbara Thaler,Q64140675,Barbara Thaler
131,1c66425c4d3911d91db7908c96c8d1fb8213e158,Barbara Thaler,Q99499204,Barbara Thaler-Knoflach
132,1cc151be3ece4ac9a659ceef3c5b4dbe21ed8759,Kerstin Suchan-Mayr,Q50843232,Kerstin Suchan-Mayr
133,1dc24f792d1adc67280801c396c6e7b19507c693,Nikolaus Kunrath,Q18411906,Nikolaus Kunrath
134,1e22834158a7d4ba30cb23dc431e8c5366bd92c7,Karin Scheele,Q85395,Karin Scheele
135,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q20752764,Stefan Hofer
136,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q69898234,Stefan Hofer
137,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q50350274,Stefan Hofer
138,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q2336547,Stefan Hofer
139,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q27982584,Stefan Hofer
140,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q37829949,Stefan O Hofer
141,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q50897703,Stefan Höfer
142,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q58340487,Stefan Hofer
143,1e32e1a1c4757f082a36b62f0872a4b04e55d4b0,Stefan Hofer,Q96246844,Stefan Hofer
144,1e5a05af1b1c8cffcbf11faf2ba17216b610d316,Peter Sittler,Q100273553,Peter Sittler
145,1e6b462ae66d973880dde9991583de0aebaeddbe,Verena Dunst,Q1248286,Verena Dunst
146,1ebbfee889f8c382a2d8b98e58328cc151c5629e,Angela Baumgartner,Q42328389,Angela Baumgartner
147,1ece2ed5cc6f0bc395d6f680e45c87c17d64775a,Johann Seitinger,Q1696221,Johann Seitinger
148,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q5342183,Nightcrawler
149,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q103332,Kurt Wagner
150,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q104006,Kurt Wagner
151,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q1794214,Kurt Wagner
152,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q6447112,Kurt Wagner
153,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q1479644,Kurt Wagner
154,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q100597757,Kurt Wagner
155,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q1794215,Kurt Wagner
156,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q92082227,Kurt Wagner
157,1ef8f127a0f1c54640e354e146222217c0a5bb27,Kurt Wagner,Q95257456,Kurt Wagner
158,1f0251a549ed92429732eb43a923cbd7857e38fd,Patrik Fazekas,Q20801695,Patrik Fazekas
159,1f0251a549ed92429732eb43a923cbd7857e38fd,Patrik Fazekas,Q20478314,Patrik Fazekas
160,1fc56c9e46d27d9adaa9564368cdc2e077ea94af,Gaby Schaunig,Q1425555,Gabriele Schaunig-Kandut
161,1fcd981c186baaedee1af9ebb3384540507e431a,Christofer Ranzmaier,Q51955011,Christofer Ranzmaier
162,202e62246bfa1cc5276d133ed104f2d43cefa62d,Andrea Mautz-Leopold,Q494427,Andrea Mautz
163,2034e0004a3fa7c84d624b7754ac30a90c546674,Christoph Matznetter,Q88260,Christoph Matznetter
164,20c58eddcf9395c62a83b5b9ed16c1abd2e4a2c0,Walter Rauch,Q23929155,Walter Rauch
165,20c58eddcf9395c62a83b5b9ed16c1abd2e4a2c0,Walter Rauch,Q1528323,Walter Rauch
166,20c58eddcf9395c62a83b5b9ed16c1abd2e4a2c0,Walter Rauch,Q24090928,Walter Rauch
167,20c58eddcf9395c62a83b5b9ed16c1abd2e4a2c0,Walter Rauch,Q95879480,Walter Rauch
168,20c680ca139f44ce675e8223c69e07dbbb523577,Dietmar Schuster,,
169,20ee420226d414ad505284866b054109e2b93e8f,Gabriel Obernosterer,Q1489513,Gabriel Obernosterer
170,20ff9238e06d206e875591b2b4e220fcaa7e0077,Ilse Elisabeth Oberleitner,,
171,212f64ce9cf36f3e654be3faf3d1dc85082b2cd0,Veronika Matiasek,Q2517478,Veronika Matiasek
172,21f2893c93287d9a6453f03e72d4007d01195d0f,Helmut Brandstätter,Q1603428,Helmut Brandstätter
173,224d1a0bac8ee573ab5974150f3d87a6c32b52f1,Marco Schreuder,Q1704085,Marco Schreuder
174,226ca1e2ec27a55c6fe4daf79b5d9467b5a1feb5,Silvester Gfrerer,Q55230115,Silvester Gfrerer
175,22f628b6b15a270fc961ed3edbcaf9c87e04209f,Astrid Rompolt,Q102353109,Astrid Rompolt
176,24e25c0035fc07a4a8103dbb584b0ccecd40881d,Nurten Yılmaz,Q1679312,Nurten Yilmaz
177,2504c9095e2e33fa4ef6511aa4c63129fc6ef019,Christian Hafenecker,Q1080106,Christian Hafenecker
178,25773cb9011a1fe0d04069135f83c4244037c30d,Judith Ringer,Q84499602,Judith Ringer
179,2599504b65f9f602a4bc9641743a7cb9c615f1be,Peter Wurm,Q2079124,Peter Wurm
180,277bbb9e7cfed2853899b8674a2107436be7cad3,Margit Kraker,Q24464024,Margit Kraker
181,277da25869f80a0cad046c0c3926df2123dd13e7,Reinhart Rohr,Q2141238,Reinhart Rohr
